X, Y, Tap, Dog Bowl
-28.001176757636006,153.43130048688732,Y,Y
-27.952906017080384,153.30443027553287,Y,N
-27.782296647464012,153.23201155315883,Y,Y
-27.943454496415576,153.3858569470666,N,N
-27.88554033946313,153.30529648087622,Y,Y
-27.881195512042495,153.31450048466797,N,N
-28.05382724688024,153.39900490472,Y,Y
-28.055685145699012,153.3954304326169,Y,Y
-28.144217264273212,153.457527889583,Y,Y
-28.018375104521756,153.41012960429427,Y,Y
-28.021125141072496,153.40948508646017,Y,Y
-27.999209898626948,153.39772850144675,Y,Y
-28.01332160581891,153.4107200573451,Y,Y
-28.047623382094702,153.36692279527773,N,N
-27.988073714701443,153.36405908912252,Y,Y
-27.99907581545052,153.39821592626893,N,N
-27.818658319251764,153.30440726373422,N,N
-28.048658388207286,153.36911573133182,N,N
-27.98887271695936,153.35396998811257,N,N
-27.85449987124809,153.3514264135638,Y,Y
-27.927206483154798,153.32426623194024,N,N
-27.823897707061146,153.32506614054006,N,N
-27.864502062989946,153.3255375801668,N,N
-27.86437464448575,153.3244941378047,N,N
-27.801531048159937,153.251888528914,N,N
-27.80153039578226,153.2518997453857,N,N
-27.967004621830764,153.39878644239053,N,N
-28.073071010474017,153.4405479930297,Y,Y
-27.891599004367833,153.31042645717537,Y,N
-27.914655660320857,153.38178247680855,Y,Y
-28.078053677499724,153.44778968221303,Y,Y
-27.942839965435912,153.3994305804076,N,N
-27.90371009739451,153.32589885275883,Y,Y
-27.990117112072202,153.36827757040137,Y,Y
-27.985899328925342,153.38477890776971,Y,Y
-27.889787020824148,153.38348044785107,N,N
-28.127032854525176,153.47049912722278,Y,Y
-28.041508493903347,153.43738666057723,N,N
-27.949435017404053,153.36680253208405,Y,Y
-28.16492011933676,153.54445325309928,N,N
-28.164595056248316,153.54467729218112,N,N
-28.13104044626754,153.45983697116435,N,N
-28.055122110980818,153.4410460388935,Y,N
-28.059169104045296,153.36231848822064,N,N
-27.78007945339501,153.2730296939441,Y,Y
-28.072043111179994,153.4456258233261,Y,Y
-28.0797469754187,153.4330851103387,N,N
-27.944113047429248,153.32162549575733,Y,Y
-28.06186711423154,153.42376992987928,Y,N
-27.871216538917597,153.3651120800573,N,N
-28.07996180615702,153.43364668061483,N,N
-28.079214043446242,153.43265360959558,N,N
-28.0797370517205,153.43336915846564,N,N
-27.81898637012851,153.2826892665383,Y,Y
-27.91943847593697,153.31680216635831,N,N
-28.072504856991998,153.36231706446728,Y,N
-28.019473073575277,153.42660048916457,Y,Y
-27.9661997965265,153.41661782283458,Y,N
-27.966924114684982,153.41759095069776,N,N
-27.967116639009323,153.4182979470775,N,N
-27.969046392692224,153.41852379321577,N,N
-27.970666687766464,153.42010173487782,N,N
-27.965517128125526,153.41768815116822,N,N
-27.96470075033757,153.41740029827398,N,N
-28.04431680148068,153.3899450087117,N,Y
-28.0983865576271,153.458486396488,Y,Y
-28.093441913748123,153.4187202830719,Y,Y
-28.008925393949763,153.38588795340516,Y,N
-28.009298796619856,153.38603807171054,Y,N
-28.143672048868886,153.45957986331229,Y,N
-28.008792941806636,153.38405896928052,Y,Y
-28.164815205536357,153.54646928049118,Y,Y
-27.953201344044732,153.3755991858381,N,N
-28.010611305115983,153.3877880524619,Y,N
-27.985997702865873,153.4284784915646,Y,Y
-27.997156716357992,153.41591236581567,N,N
-28.076569363416116,153.38180091145225,N,N
-28.074026343044114,153.36094484550054,N,N
-28.076976612910922,153.38242935740715,Y,Y
-28.062331550828052,153.43001121785758,N,N
-28.074185870124023,153.3806306521098,Y,N
-27.992154696276458,153.41534540424465,N,N
-28.003502652266782,153.42772184908017,N,N
-28.165103639167818,153.5448517975632,N,N
-28.039991568020678,153.31024709136852,N,N
-28.06441960812577,153.42895046663833,N,N
-27.944085010121007,153.30778647425188,N,N
-28.07850397010218,153.36537058806385,N,N
-28.008906302579845,153.3872198416283,Y,N
-28.009374063310325,153.38770989832383,Y,N
-28.008388485536422,153.4127898886879,N,N
-27.854070649511907,153.29572587839704,N,N
-28.167458824548167,153.52998874490774,N,N
-27.88145437658607,153.31334466195938,N,N
-28.112347999938244,153.45706675711256,Y,N
-28.16474326589706,153.5208889245011,N,N
-28.030543330723496,153.43460037137928,N,N
-28.03109017966023,153.43502678953757,N,N
-28.158427051300734,153.5105207797633,Y,Y
-28.00083143994327,153.43127235832446,N,Y
-27.999261352213985,153.43114408605567,N,Y
-27.885849867983534,153.28174734817446,N,N
-27.941005622833746,153.4084603979926,N,Y
-28.030688608761118,153.43475295879216,N,N
-27.990638309018536,153.3394151341386,N,N
-27.887499837605443,153.2827534356708,Y,Y
-27.913464922446888,153.27626241211266,N,N
-27.912454748280002,153.2772712757048,N,N
-28.030870903624105,153.43498639651804,N,N
-28.031363544395145,153.43465987143546,N,N
-28.062519383330844,153.4144519924731,N,N
-27.943396675232535,153.31250078526477,N,N
-27.973532550658305,153.42866244174184,N,N
-28.061556184273623,153.44248201647937,Y,Y
-27.86739367424016,153.30484002979904,N,N
-27.867220018528716,153.30439250597925,N,N
-28.04172828012653,153.37782654859558,N,N
-28.022903743304667,153.36052313095774,Y,Y
-28.164113027989135,153.51927937879353,Y,Y
-27.98846298969062,153.33165302611982,N,N
-28.004235023951225,153.42767576268204,N,N
-28.073321515138794,153.36064985696848,N,N
-28.133728693071227,153.47548917478463,N,N
-27.976363977354897,153.36160835463667,N,N
-28.000077979623228,153.4311946361136,N,Y
-27.969853987009454,153.4191456534532,N,N
-27.968368564434943,153.41802576984887,N,N
-27.962477480038743,153.4145794155129,N,N
-27.964876315765498,153.41881907339115,N,N
-28.166208886871775,153.522914363497,N,N
-28.166909051479763,153.52574270705173,N,N
-28.167246046494054,153.5279709336281,N,N
-28.16665000325253,153.5371937793459,N,N
-28.167298729014576,153.5392583824417,N,N
-28.167465361462117,153.5415150282367,Y,Y
-28.166335231420828,153.53566707102652,Y,Y
-28.16685456195172,153.53630439163052,N,N
-28.06072067842737,153.4405299310308,Y,Y
-28.060897610961103,153.4409117763964,Y,N
-27.93585258706644,153.31411556480467,N,N
-28.05851405354368,153.40400945391966,Y,Y
-28.055848974167983,153.40727943040852,N,N
-28.082683684498726,153.39509957855986,N,N
-28.08248083038986,153.39549682339361,N,N
-27.928917882215245,153.31819665265164,N,N
-28.081815064942315,153.40982191336946,N,N
-27.881728486332822,153.3617152318021,Y,Y
-28.064610201048723,153.42872364780152,N,N
-27.876733389882848,153.39349529580548,Y,Y
-27.975841975397618,153.40620035320572,N,N
-27.976332353691536,153.40573139640048,Y,Y
-28.162933671975637,153.51716881194912,N,N
-28.155036305086885,153.50651595970442,Y,Y
-28.159543696200032,153.51185585045025,N,N
-28.07137602391427,153.3541024895405,N,N
-28.028124393327328,153.43473896377898,N,N
-27.955710360914278,153.3926897312609,N,N
-27.956494186822628,153.39406051391273,Y,Y
-27.93972893040736,153.40785914092652,N,N
-28.062973719656302,153.42766127940175,Y,N
-28.127815105058293,153.4653842428008,N,N
-28.029901721621503,153.43508752626298,N,N
-28.019304986380664,153.42861468167177,N,N
-28.089210399899336,153.4535461010578,N,N
-28.00852854061704,153.3961706887131,N,N
-27.919771652970482,153.31732924981023,N,N
-27.893165973712506,153.3849742021591,Y,Y
-28.13230332721246,153.42110996858423,Y,N
-28.018809811177658,153.42656944055358,Y,N
-28.02737359793118,153.4346480358644,N,N
-27.960210822242402,153.3741796671366,N,N
-27.943727561324412,153.35539795159252,Y,N
-27.97608689130247,153.27739231491992,N,N
-28.078039271698334,153.44766751253619,N,N
-28.0283348972347,153.4342420312956,Y,N
-28.02886355953334,153.43425396823233,Y,N
-28.03571176959,153.43576172727813,Y,Y
-28.08637104040003,153.45122951258463,N,N
-28.11693256141774,153.46735853798566,N,N
-28.0720934474118,153.44656424238693,N,N
-28.119015306506814,153.47256638337657,N,N
-27.923173069626046,153.30940358298815,N,N
-28.16720667421437,153.53815651748351,N,N
-27.970725804993045,153.37170286974785,N,N
-28.167715428447607,153.54163471879056,N,N
-28.07902693661848,153.43237103927964,N,N
-28.16440459224914,153.55066597481363,N,N
-27.945732787470885,153.31414213353278,Y,N
-27.99136763011146,153.4303353177197,N,N
-27.993331628253642,153.43048140089167,N,N
-27.87978961358741,153.3940292414115,N,N
-27.8894284837965,153.29621767408213,Y,N
-28.13759240078192,153.4395977687634,N,N
-28.080891966179955,153.43260997823947,N,N
-28.080339795075332,153.4328118742278,N,N
-28.07430333855345,153.4466842417625,N,N
-27.885149900795916,153.39618609171296,N,Y
-27.882316183093597,153.3965892001904,N,Y
-27.97556344030709,153.429268201068,N,N
-28.08644217779474,153.43632292062912,N,N
-28.079595589745207,153.44089067948764,N,N
-28.085651564849055,153.4406726040087,N,N
-28.119196832494865,153.3952410728104,N,N
-28.07730766321545,153.44745525691255,Y,Y
-27.884436681824088,153.34854103813592,N,N
-27.92651132079292,153.40635361666423,N,N
-27.976366658702553,153.4293095300963,N,N
-27.976314537291312,153.42932349417205,N,Y
-27.9778547642083,153.42942484304587,N,N
-28.127059595683683,153.47238025255797,N,N
-28.126643540990564,153.47099036785565,N,N
-28.028750041393742,153.43476278543557,N,N
-27.999470499398317,153.43113351340008,N,Y
-27.998257524280188,153.43100851073885,N,Y
-27.998335803407457,153.43082843374742,N,Y
-27.999456663823036,153.43091080087547,N,Y
-28.00242738364374,153.43133071047976,N,Y
-28.00417288204192,153.4314746163996,N,Y
-28.003985147394133,153.43147655255427,N,Y
-28.003745496133313,153.43143005804427,N,Y
-27.94428264888322,153.32446239397265,N,N
-27.885465856377245,153.28137832593296,N,N
-27.884887644013624,153.2818375979024,N,N
-28.143035109602234,153.4936374886619,N,N
-27.875610600207686,153.39551985154924,N,N
-27.904185542193627,153.28806363254122,N,N
-27.880135370769302,153.3091121360001,Y,Y
-28.073497304571603,153.44629294084805,Y,Y
-28.134911625110952,153.34751367691328,Y,Y
-28.16745604835021,153.54021602440216,N,N
-28.167655731906247,153.5414388814708,N,N
-27.914909878512724,153.33140456387002,Y,Y
-28.13191129951846,153.42385254377228,N,N
-28.13364454839725,153.42281052237004,Y,N
-28.132776172897405,153.42365173873597,Y,N
-28.069949657785887,153.39098479347797,Y,Y
-27.950810087953574,153.30424257669117,N,N
-27.957468990285168,153.40767405294295,N,N
-27.99026512484476,153.33995559693383,N,N
-27.990586260921148,153.3400242771265,N,N
-27.990491672658777,153.3396959318846,Y,N
-28.03628874277923,153.4362206758758,N,N
-28.035167434737293,153.43599518473096,N,N
-28.03419083351656,153.4358456142935,N,N
-28.03237794895661,153.4355260742193,N,N
-28.03137226433718,153.43532430130352,N,N
-28.046011770690036,153.41285181753636,N,N
-27.971527227267035,153.4205260389183,N,N
-28.167455434647515,153.5291612250717,N,N
-28.077801765133245,153.42926588473637,Y,Y
-27.92271510687218,153.32104369268632,N,N
-28.092700112509224,153.4070622203154,N,N
-27.995972361004394,153.37444541741067,Y,Y
-28.080443907371297,153.40713819454854,Y,Y
-27.99478137581412,153.38513054110805,Y,Y
-28.09342162319127,153.41859530695933,Y,Y
-28.166933618865876,153.5374581775172,N,N
-28.003357471571274,153.42713144248057,N,N
-27.737593483258767,153.3045599928605,N,N
-27.956275014281992,153.38336531113373,N,N
-27.989575553349223,153.3340018104165,N,N
-28.08929670005305,153.45211775525013,N,N
-28.045900379419948,153.43653053060544,Y,N
-27.925304485227198,153.40048148439294,N,N
-28.02606885833346,153.4148343030738,N,N
-27.943687662821056,153.39879750110958,N,N
-27.824241408104587,153.27960173661722,Y,N
-28.11129507661614,153.3902047860572,N,N
-28.07977368864604,153.3501565407703,N,N
-27.935666161266717,153.33104972042952,N,N
-27.942350041957674,153.33277557910768,N,N
-27.911841892961164,153.3983554201944,N,N
-27.942570966086386,153.31557226177677,Y,N
-27.94547290186035,153.3161332531675,N,N
-27.905380026046686,153.40660602772738,Y,Y
-27.949729773923863,153.38874423272722,N,N
-27.946521404676055,153.3178109262426,Y,N
-28.144176776196492,153.45759884473355,N,N
-28.09835991557845,153.43695508855245,N,N
-28.088092410200524,153.40853757828424,N,N
-27.98781816527868,153.38272565924945,N,N
-27.9898807593305,153.37319117420577,N,N
-28.043182132420096,153.35961448838742,Y,N
-27.98183179733046,153.3693299974464,N,N
-28.04485571972107,153.3669421792608,N,N
-27.983736325269376,153.3758312187739,N,N
-27.89926549185236,153.39874973760368,N,N
-27.94199755687848,153.3631471847661,N,N
-27.899958038950267,153.3830848776888,N,N
-27.97325898817147,153.4181650183794,N,N
-27.878257601721018,153.39855901521884,N,N
-28.02373463381285,153.40984550540415,Y,N
-28.020511666404214,153.34136789703476,N,N
-27.787750176623483,153.25969974762975,N,N
-27.997316368817494,153.32552789497234,N,N
-28.074311493264325,153.41057541468328,N,N
-27.969610939820644,153.42900997065797,N,N
-27.97108627347187,153.4290240230146,N,N
-28.077583410696892,153.36468634128963,N,N
-27.973853009324138,153.42786124000023,N,N
-28.028102262911993,153.4340866640378,Y,N
-27.913240505574638,153.30146691625308,N,N
-27.861426188553263,153.29201342740674,N,N
-27.89956742201589,153.40035862459442,Y,Y
-27.95434649785252,153.39127630469397,N,N
-28.135633262313974,153.47798037957222,N,N
-28.131590688702957,153.42296098839856,Y,N
-27.90862209819712,153.34189206117512,N,N
-27.911148942976425,153.40108654064053,N,N
-27.90986498477671,153.40136477828025,N,N
-27.880686994227077,153.2988022281753,N,N
-28.131351270017188,153.4240348979153,Y,N
-28.133245070702987,153.4227306968666,Y,N
-28.133626465164873,153.4220027648329,Y,N
-28.133492242197747,153.42159818641133,Y,N
-28.132920264339983,153.42129316190815,Y,N
-27.985799857755204,153.42783359447023,N,N
-28.093310369391936,153.41666030755374,N,N
-28.058587354107352,153.44174723180515,Y,N
-27.98187759396123,153.38440374082637,N,N
-27.927360857633794,153.38217860120082,Y,N
-27.922872184984953,153.38226027936773,N,N
-28.085366502044746,153.36309344755216,N,N
-28.069976486603533,153.44489902940148,N,N
-28.07052705817701,153.35219105037004,N,N
-27.989024183667716,153.3835834017681,N,N
-28.00248723655608,153.3094019917224,N,N
-27.99354626677441,153.42440583421546,N,N
-27.987799589706093,153.42591803326457,N,N
-27.94293929482098,153.32610670852014,N,N
-27.895683775616,153.30881973885607,N,N
-27.896546023522298,153.30863853015146,N,N
-27.8702607107519,153.31517051587204,N,N
-27.779813223966638,153.36413599316626,N,N
-27.95197970891646,153.4098734215158,N,N
-27.800969190049372,153.27344619920032,N,N
-28.00493075544113,153.31896745125593,Y,N
-27.87176553534674,153.37831617169732,Y,Y
-27.884306429499205,153.39604261547652,N,N
-27.91007196353313,153.3942888324103,N,N
-28.00907990336503,153.4313132584761,N,N
-28.013777686465637,153.38207468227412,N,N
-28.01913321263574,153.3863727584694,N,N
-28.019309488392256,153.3488104125992,N,N
-27.949772795268583,153.3665837997569,N,N
-28.074684395831145,153.44014042152142,N,N
-28.07147332762937,153.43137974943332,N,N
-28.115024799455462,153.38945321751666,N,N
-28.004627869986045,153.43109424493525,N,N
-28.074420273668366,153.424803920661,N,N
-28.060742825856025,153.40895184929565,N,N
-27.910919759521455,153.38865624979223,N,N
-27.910756610042192,153.4001512798448,N,N
-28.11150062105202,153.45454280643904,N,N
-28.02658212733355,153.43159800257837,N,N
-28.00164200980925,153.3474503119923,N,N
-28.093222245005038,153.41800840512593,N,N
-28.14827961925407,153.42729260431548,N,N
-27.92465871739472,153.31794097474986,N,N
-27.99162863556745,153.41524745526377,N,N
-27.854995365565408,153.35114677070655,Y,Y
-28.05695483403944,153.40609529020122,Y,N
-28.126288296278364,153.47767133146803,Y,Y
-27.978020245476426,153.41646309100582,N,N
-28.03124431397004,153.40365531433036,N,N
-27.942366999759,153.39468540759555,Y,Y
-27.949571695782726,153.36611539789462,Y,Y
-27.974043018555616,153.4255953172833,Y,Y
-28.07260742594783,153.44604060812273,N,N
-28.112329770035323,153.3860435339043,N,N
-28.164904194861425,153.5507618463334,N,N
-28.11347191337422,153.44166785364737,N,N
-28.100147265733405,153.4181023920566,Y,N
-27.974996566536223,153.42932397716945,N,N
-27.934304661344473,153.3029402171928,N,N
-28.076829255598902,153.41379313789602,N,N
-27.910915962611757,153.39329975612205,Y,N
-28.08314519144095,153.40724808929698,N,N
-28.06287993921975,153.42379462885154,N,N
-28.001159556830814,153.35109405334833,N,N
-28.06549665555375,153.4226138080452,N,N
-27.954333266704413,153.39088452405707,N,N
-27.938241359622825,153.31710727430712,N,N
-27.985481326689516,153.42801580681507,N,N
-28.02044851677371,153.43361299325113,Y,N
-27.953461942270557,153.40954337191965,N,N
-28.021747061212153,153.43094927727847,N,N
-28.06617922874995,153.42202982650298,N,N
-27.876162258464454,153.29643966996284,N,N
-27.88237066467114,153.32280661120052,N,N
-28.022205049936986,153.43291459031278,N,N
-27.881006498415154,153.3970909156039,Y,Y
-28.021786317435083,153.43313243158337,N,N
-27.8802643793496,153.35074210780786,N,N
-27.956154483716517,153.39174539780197,N,N
-27.78075700933825,153.2657607183997,N,N
-27.953993004441735,153.38932324905974,N,N
-28.08860146505982,153.41079570306374,N,N
-28.00874552455456,153.38520988639576,Y,N
-28.010374110441663,153.3874699980248,Y,N
-28.001893626341175,153.41785786590881,N,N
-27.899513523521463,153.32874056470925,N,N
-27.8652203338184,153.32102444815803,Y,N
-27.97836787258287,153.4037268443995,N,N
-28.04182282588623,153.43148423139726,N,N
-27.77492197699193,153.27239515661503,N,N
-27.774670360683547,153.2740763057362,N,N
-27.871746515981616,153.29377831023115,N,N
-28.152179003315496,153.49841288626826,N,Y
-28.05078700651354,153.4178460299419,N,N
-28.05072624992572,153.41716743706976,Y,Y
-28.11478733397071,153.39072903808633,N,N
-28.007901161509423,153.39611748441848,N,N
-27.94140955821398,153.40892190469975,N,N
-27.897122222496755,153.40302872424692,N,N
-28.115145073608893,153.38777844170437,Y,Y
-28.11400994216303,153.388075329428,Y,Y
-27.864545981108012,153.28905148703836,N,N
-27.987131138864807,153.36669926401376,N,N
-28.113259117514595,153.38680410991287,N,N
-27.995809589651866,153.3779241637999,N,N
-28.001197978706013,153.3876239359103,N,N
-27.8442349486366,153.3411271960981,Y,N
-27.844927043522002,153.3415945643186,Y,N
-27.841818524463342,153.3420764778775,N,N
-27.985700797669953,153.32818109277588,N,N
-27.93214738314436,153.31160004150078,N,N
-28.08429082031816,153.37555271655313,N,N
-28.105165837921952,153.4030189238227,Y,N
-27.93282132538908,153.30931380540454,N,N
-27.957697473042558,153.35354230784637,N,N
-28.156168580376665,153.50470965223883,N,N
-27.9494215615952,153.36772146225164,N,N
-28.167469843933787,153.53978495470068,N,N
-28.168051234293465,153.53054728428782,N,N
-28.104404728239,153.44176653688777,Y,N
-27.993096941859395,153.4244782050181,N,N
-27.919969579048225,153.33672218275174,N,N
-28.081323224403125,153.4404876680223,N,N
-28.003617163611572,153.3391560571983,N,N
-28.09422772362579,153.45522276314364,N,N
-28.088397735543385,153.45175030937312,N,N
-28.001553446728895,153.3470667621817,N,N
-27.778247090321035,153.27136128114026,N,N
-27.98610327239763,153.42809976857143,N,N
-28.137167507662667,153.47596518516025,N,N
-28.127901983772247,153.4777251682247,N,N
-28.056284989393102,153.4056640041361,N,N
-27.97352680147658,153.42905883038614,N,N
-28.080292016494134,153.44859022258808,N,Y
-28.085972586486303,153.45097991621566,Y,Y
-28.08762492208176,153.3937765988688,Y,N
-28.055657708119828,153.4074711086431,N,N
-28.14631885174872,153.49397275010617,Y,Y
-27.911665401177128,153.3945432329785,N,N
-28.019976791398324,153.42679984319764,N,N
-28.064678732192952,153.42307045743436,Y,Y
